
running ./paper_experiments.py -m 2 -d 2 -p 5 
{'loss': 2.1456, 'learning_rate': 1.9083969465648855e-07, 'epoch': 0.02}
{'loss': 2.0822, 'learning_rate': 3.816793893129771e-07, 'epoch': 0.03}
{'loss': 2.1429, 'learning_rate': 5.725190839694656e-07, 'epoch': 0.05}
{'loss': 2.1606, 'learning_rate': 7.633587786259542e-07, 'epoch': 0.06}
{'loss': 2.0752, 'learning_rate': 9.54198473282443e-07, 'epoch': 0.08}
{'loss': 2.12, 'learning_rate': 1.1450381679389313e-06, 'epoch': 0.09}
{'loss': 2.1272, 'learning_rate': 1.3358778625954198e-06, 'epoch': 0.11}
{'loss': 2.1129, 'learning_rate': 1.5267175572519084e-06, 'epoch': 0.12}
{'loss': 2.1227, 'learning_rate': 1.7175572519083972e-06, 'epoch': 0.14}
{'loss': 2.1282, 'learning_rate': 1.908396946564886e-06, 'epoch': 0.15}
{'loss': 2.0752, 'learning_rate': 2.099236641221374e-06, 'epoch': 0.17}
{'loss': 2.1134, 'learning_rate': 2.2900763358778625e-06, 'epoch': 0.18}
{'loss': 2.1155, 'learning_rate': 2.4809160305343513e-06, 'epoch': 0.2}
{'loss': 2.0926, 'learning_rate': 2.6717557251908397e-06, 'epoch': 0.21}
{'loss': 2.0878, 'learning_rate': 2.8625954198473285e-06, 'epoch': 0.23}
{'loss': 2.0562, 'learning_rate': 3.053435114503817e-06, 'epoch': 0.24}
{'loss': 2.0741, 'learning_rate': 3.2442748091603052e-06, 'epoch': 0.26}
{'loss': 2.0505, 'learning_rate': 3.4351145038167944e-06, 'epoch': 0.27}
{'loss': 2.1212, 'learning_rate': 3.6259541984732824e-06, 'epoch': 0.29}
{'loss': 2.0633, 'learning_rate': 3.816793893129772e-06, 'epoch': 0.3}
{'loss': 2.0723, 'learning_rate': 4.0076335877862595e-06, 'epoch': 0.32}
{'loss': 2.0983, 'learning_rate': 4.198473282442748e-06, 'epoch': 0.34}
{'loss': 2.0183, 'learning_rate': 4.389312977099236e-06, 'epoch': 0.35}
{'loss': 2.0342, 'learning_rate': 4.580152671755725e-06, 'epoch': 0.37}
{'loss': 2.0278, 'learning_rate': 4.770992366412214e-06, 'epoch': 0.38}
{'loss': 2.0288, 'learning_rate': 4.961832061068703e-06, 'epoch': 0.4}
{'loss': 2.014, 'learning_rate': 5.1526717557251914e-06, 'epoch': 0.41}
{'loss': 2.0163, 'learning_rate': 5.343511450381679e-06, 'epoch': 0.43}
{'loss': 2.0003, 'learning_rate': 5.534351145038168e-06, 'epoch': 0.44}
{'loss': 1.9685, 'learning_rate': 5.725190839694657e-06, 'epoch': 0.46}
{'loss': 1.9751, 'learning_rate': 5.916030534351146e-06, 'epoch': 0.47}
{'loss': 1.9558, 'learning_rate': 6.106870229007634e-06, 'epoch': 0.49}
{'loss': 1.9092, 'learning_rate': 6.297709923664122e-06, 'epoch': 0.5}
{'loss': 1.91, 'learning_rate': 6.4885496183206104e-06, 'epoch': 0.52}
{'loss': 1.8985, 'learning_rate': 6.679389312977099e-06, 'epoch': 0.53}
{'loss': 1.8972, 'learning_rate': 6.870229007633589e-06, 'epoch': 0.55}
{'loss': 1.864, 'learning_rate': 7.061068702290078e-06, 'epoch': 0.56}
{'loss': 1.7923, 'learning_rate': 7.251908396946565e-06, 'epoch': 0.58}
{'loss': 1.741, 'learning_rate': 7.4427480916030536e-06, 'epoch': 0.59}
{'loss': 1.6766, 'learning_rate': 7.633587786259543e-06, 'epoch': 0.61}
{'loss': 1.7108, 'learning_rate': 7.824427480916032e-06, 'epoch': 0.63}
{'loss': 1.5666, 'learning_rate': 8.015267175572519e-06, 'epoch': 0.64}
{'loss': 1.4685, 'learning_rate': 8.206106870229008e-06, 'epoch': 0.66}
{'loss': 1.5458, 'learning_rate': 8.396946564885497e-06, 'epoch': 0.67}
{'loss': 1.3247, 'learning_rate': 8.587786259541985e-06, 'epoch': 0.69}
{'loss': 1.4679, 'learning_rate': 8.778625954198473e-06, 'epoch': 0.7}
{'loss': 1.3049, 'learning_rate': 8.969465648854961e-06, 'epoch': 0.72}
{'loss': 1.3916, 'learning_rate': 9.16030534351145e-06, 'epoch': 0.73}
{'loss': 1.2572, 'learning_rate': 9.351145038167939e-06, 'epoch': 0.75}
{'loss': 1.1648, 'learning_rate': 9.541984732824428e-06, 'epoch': 0.76}
{'loss': 1.0338, 'learning_rate': 9.732824427480917e-06, 'epoch': 0.78}
{'loss': 1.2127, 'learning_rate': 9.923664122137405e-06, 'epoch': 0.79}
{'loss': 1.0713, 'learning_rate': 1.0114503816793894e-05, 'epoch': 0.81}
{'loss': 0.9446, 'learning_rate': 1.0305343511450383e-05, 'epoch': 0.82}
{'loss': 0.9191, 'learning_rate': 1.049618320610687e-05, 'epoch': 0.84}
{'loss': 1.0265, 'learning_rate': 1.0687022900763359e-05, 'epoch': 0.85}
{'loss': 0.8436, 'learning_rate': 1.0877862595419848e-05, 'epoch': 0.87}
{'loss': 0.8347, 'learning_rate': 1.1068702290076336e-05, 'epoch': 0.88}
{'loss': 0.8541, 'learning_rate': 1.1259541984732823e-05, 'epoch': 0.9}
{'loss': 0.7707, 'learning_rate': 1.1450381679389314e-05, 'epoch': 0.91}
{'loss': 0.9113, 'learning_rate': 1.1641221374045803e-05, 'epoch': 0.93}
{'loss': 0.8399, 'learning_rate': 1.1832061068702292e-05, 'epoch': 0.95}
{'loss': 0.5962, 'learning_rate': 1.202290076335878e-05, 'epoch': 0.96}
{'loss': 0.7165, 'learning_rate': 1.2213740458015267e-05, 'epoch': 0.98}
{'loss': 0.7321, 'learning_rate': 1.2404580152671756e-05, 'epoch': 0.99}
testset on epoch 0.9988562714449104 acc:  0.24375  prec  0.3315306994319823  rec  0.24375  f1  0.18129963743141014
{'eval_loss': 1.0016961097717285, 'eval_accuracy': 0.6433333333333333, 'eval_runtime': 13.1462, 'eval_samples_per_second': 22.82, 'eval_steps_per_second': 5.705, 'epoch': 1.0}
{'loss': 0.6493, 'learning_rate': 1.2595419847328243e-05, 'epoch': 1.01}
{'loss': 0.8537, 'learning_rate': 1.2786259541984732e-05, 'epoch': 1.02}
{'loss': 0.7252, 'learning_rate': 1.2977099236641221e-05, 'epoch': 1.04}
{'loss': 0.5929, 'learning_rate': 1.316793893129771e-05, 'epoch': 1.05}
{'loss': 0.7337, 'learning_rate': 1.3358778625954198e-05, 'epoch': 1.07}
{'loss': 0.5669, 'learning_rate': 1.3549618320610687e-05, 'epoch': 1.08}
{'loss': 0.5116, 'learning_rate': 1.3740458015267178e-05, 'epoch': 1.1}
{'loss': 0.5812, 'learning_rate': 1.3931297709923667e-05, 'epoch': 1.11}
{'loss': 0.6113, 'learning_rate': 1.4122137404580155e-05, 'epoch': 1.13}
{'loss': 0.5472, 'learning_rate': 1.431297709923664e-05, 'epoch': 1.14}
{'loss': 0.6487, 'learning_rate': 1.450381679389313e-05, 'epoch': 1.16}
{'loss': 0.6246, 'learning_rate': 1.4694656488549618e-05, 'epoch': 1.17}
{'loss': 0.643, 'learning_rate': 1.4885496183206107e-05, 'epoch': 1.19}
