
running ./paper_experiments.py -m 3 -d 0 -p 3 
{'loss': 2.1948, 'learning_rate': 3.9682539682539683e-07, 'epoch': 0.03}
{'loss': 2.1905, 'learning_rate': 7.936507936507937e-07, 'epoch': 0.06}
{'loss': 2.1883, 'learning_rate': 1.1904761904761904e-06, 'epoch': 0.1}
{'loss': 2.0957, 'learning_rate': 1.5873015873015873e-06, 'epoch': 0.13}
{'loss': 2.0511, 'learning_rate': 1.984126984126984e-06, 'epoch': 0.16}
{'loss': 2.0225, 'learning_rate': 2.3809523809523808e-06, 'epoch': 0.19}
{'loss': 1.9721, 'learning_rate': 2.777777777777778e-06, 'epoch': 0.22}
{'loss': 1.914, 'learning_rate': 3.1746031746031746e-06, 'epoch': 0.25}
{'loss': 1.8532, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.29}
{'loss': 1.848, 'learning_rate': 3.968253968253968e-06, 'epoch': 0.32}
{'loss': 1.6901, 'learning_rate': 4.365079365079365e-06, 'epoch': 0.35}
{'loss': 1.5355, 'learning_rate': 4.7619047619047615e-06, 'epoch': 0.38}
{'loss': 1.453, 'learning_rate': 5.158730158730159e-06, 'epoch': 0.41}
{'loss': 1.387, 'learning_rate': 5.555555555555556e-06, 'epoch': 0.44}
{'loss': 1.1587, 'learning_rate': 5.9523809523809525e-06, 'epoch': 0.48}
{'loss': 0.9597, 'learning_rate': 6.349206349206349e-06, 'epoch': 0.51}
{'loss': 0.8256, 'learning_rate': 6.746031746031746e-06, 'epoch': 0.54}
{'loss': 0.7476, 'learning_rate': 7.142857142857143e-06, 'epoch': 0.57}
{'loss': 0.5882, 'learning_rate': 7.5396825396825394e-06, 'epoch': 0.6}
{'loss': 0.5541, 'learning_rate': 7.936507936507936e-06, 'epoch': 0.63}
{'loss': 0.4066, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.67}
{'loss': 0.3373, 'learning_rate': 8.73015873015873e-06, 'epoch': 0.7}
{'loss': 0.352, 'learning_rate': 9.126984126984127e-06, 'epoch': 0.73}
{'loss': 0.3733, 'learning_rate': 9.523809523809523e-06, 'epoch': 0.76}
{'loss': 0.2897, 'learning_rate': 9.92063492063492e-06, 'epoch': 0.79}
{'loss': 0.1849, 'learning_rate': 1.0317460317460318e-05, 'epoch': 0.82}
{'loss': 0.2217, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.86}
{'loss': 0.226, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.89}
{'loss': 0.2039, 'learning_rate': 1.1507936507936508e-05, 'epoch': 0.92}
{'loss': 0.2603, 'learning_rate': 1.1904761904761905e-05, 'epoch': 0.95}
{'loss': 0.1598, 'learning_rate': 1.2301587301587301e-05, 'epoch': 0.98}
testset on epoch 0.9984152139461173 acc:  0.49583333333333335  prec  0.6077792259272862  rec  0.49583333333333335  f1  0.47802246756038197
{'eval_loss': 0.48927387595176697, 'eval_accuracy': 0.87, 'eval_runtime': 7.457, 'eval_samples_per_second': 40.231, 'eval_steps_per_second': 5.096, 'epoch': 1.0}
{'loss': 0.2273, 'learning_rate': 1.2698412698412699e-05, 'epoch': 1.01}
{'loss': 0.2156, 'learning_rate': 1.3095238095238096e-05, 'epoch': 1.05}
{'loss': 0.2168, 'learning_rate': 1.3492063492063492e-05, 'epoch': 1.08}
{'loss': 0.1426, 'learning_rate': 1.388888888888889e-05, 'epoch': 1.11}
{'loss': 0.1812, 'learning_rate': 1.4285714285714285e-05, 'epoch': 1.14}
{'loss': 0.1199, 'learning_rate': 1.4682539682539683e-05, 'epoch': 1.17}
{'loss': 0.1306, 'learning_rate': 1.5079365079365079e-05, 'epoch': 1.2}
{'loss': 0.2161, 'learning_rate': 1.5476190476190476e-05, 'epoch': 1.24}
{'loss': 0.1465, 'learning_rate': 1.5873015873015872e-05, 'epoch': 1.27}
{'loss': 0.1544, 'learning_rate': 1.626984126984127e-05, 'epoch': 1.3}
{'loss': 0.1388, 'learning_rate': 1.6666666666666667e-05, 'epoch': 1.33}
{'loss': 0.1228, 'learning_rate': 1.7063492063492063e-05, 'epoch': 1.36}
{'loss': 0.1579, 'learning_rate': 1.746031746031746e-05, 'epoch': 1.39}
{'loss': 0.1162, 'learning_rate': 1.785714285714286e-05, 'epoch': 1.43}
{'loss': 0.1051, 'learning_rate': 1.8253968253968254e-05, 'epoch': 1.46}
{'loss': 0.1954, 'learning_rate': 1.8650793650793654e-05, 'epoch': 1.49}
{'loss': 0.1119, 'learning_rate': 1.9047619047619046e-05, 'epoch': 1.52}
{'loss': 0.0786, 'learning_rate': 1.9444444444444445e-05, 'epoch': 1.55}
{'loss': 0.1291, 'learning_rate': 1.984126984126984e-05, 'epoch': 1.58}
{'loss': 0.1146, 'learning_rate': 2.023809523809524e-05, 'epoch': 1.62}
{'loss': 0.1118, 'learning_rate': 2.0634920634920636e-05, 'epoch': 1.65}
{'loss': 0.1396, 'learning_rate': 2.1031746031746032e-05, 'epoch': 1.68}
{'loss': 0.177, 'learning_rate': 2.1428571428571428e-05, 'epoch': 1.71}
{'loss': 0.1454, 'learning_rate': 2.1825396825396827e-05, 'epoch': 1.74}
{'loss': 0.1202, 'learning_rate': 2.2222222222222223e-05, 'epoch': 1.77}
{'loss': 0.1298, 'learning_rate': 2.261904761904762e-05, 'epoch': 1.81}
