
running ./paper_experiments.py -m 1 -d 2 -p 5 
{'loss': 2.1521, 'learning_rate': 3.810975609756098e-07, 'epoch': 0.03}
{'loss': 2.1488, 'learning_rate': 7.621951219512196e-07, 'epoch': 0.06}
{'loss': 2.151, 'learning_rate': 1.1432926829268292e-06, 'epoch': 0.09}
{'loss': 2.1312, 'learning_rate': 1.5243902439024391e-06, 'epoch': 0.12}
{'loss': 2.1307, 'learning_rate': 1.9054878048780488e-06, 'epoch': 0.15}
{'loss': 2.1066, 'learning_rate': 2.2865853658536584e-06, 'epoch': 0.18}
{'loss': 2.0973, 'learning_rate': 2.6676829268292685e-06, 'epoch': 0.21}
{'loss': 2.093, 'learning_rate': 3.0487804878048782e-06, 'epoch': 0.24}
{'loss': 2.0953, 'learning_rate': 3.4298780487804883e-06, 'epoch': 0.27}
{'loss': 2.08, 'learning_rate': 3.8109756097560976e-06, 'epoch': 0.3}
{'loss': 2.0784, 'learning_rate': 4.192073170731708e-06, 'epoch': 0.34}
{'loss': 2.0639, 'learning_rate': 4.573170731707317e-06, 'epoch': 0.37}
{'loss': 2.0587, 'learning_rate': 4.954268292682927e-06, 'epoch': 0.4}
{'loss': 2.0345, 'learning_rate': 5.335365853658537e-06, 'epoch': 0.43}
{'loss': 2.0409, 'learning_rate': 5.716463414634147e-06, 'epoch': 0.46}
{'loss': 2.031, 'learning_rate': 6.0975609756097564e-06, 'epoch': 0.49}
{'loss': 2.0015, 'learning_rate': 6.4786585365853665e-06, 'epoch': 0.52}
{'loss': 2.0238, 'learning_rate': 6.859756097560977e-06, 'epoch': 0.55}
{'loss': 1.9682, 'learning_rate': 7.240853658536585e-06, 'epoch': 0.58}
{'loss': 1.9842, 'learning_rate': 7.621951219512195e-06, 'epoch': 0.61}
{'loss': 1.9032, 'learning_rate': 8.003048780487805e-06, 'epoch': 0.64}
{'loss': 1.9234, 'learning_rate': 8.384146341463415e-06, 'epoch': 0.67}
{'loss': 1.8645, 'learning_rate': 8.765243902439024e-06, 'epoch': 0.7}
{'loss': 1.8264, 'learning_rate': 9.146341463414634e-06, 'epoch': 0.73}
{'loss': 1.7797, 'learning_rate': 9.527439024390244e-06, 'epoch': 0.76}
{'loss': 1.7272, 'learning_rate': 9.908536585365854e-06, 'epoch': 0.79}
{'loss': 1.6326, 'learning_rate': 1.0289634146341464e-05, 'epoch': 0.82}
{'loss': 1.6079, 'learning_rate': 1.0670731707317074e-05, 'epoch': 0.85}
{'loss': 1.4407, 'learning_rate': 1.1051829268292684e-05, 'epoch': 0.88}
{'loss': 1.469, 'learning_rate': 1.1432926829268294e-05, 'epoch': 0.91}
{'loss': 1.3621, 'learning_rate': 1.1814024390243903e-05, 'epoch': 0.95}
{'loss': 1.3162, 'learning_rate': 1.2195121951219513e-05, 'epoch': 0.98}
testset on epoch 1.0 acc:  0.2875  prec  0.34100109554262636  rec  0.2875  f1  0.23932034732512897
{'eval_loss': 1.4102097749710083, 'eval_accuracy': 0.44333333333333336, 'eval_runtime': 7.0909, 'eval_samples_per_second': 42.308, 'eval_steps_per_second': 5.359, 'epoch': 1.0}
{'loss': 1.2149, 'learning_rate': 1.2576219512195123e-05, 'epoch': 1.01}
{'loss': 1.2269, 'learning_rate': 1.2957317073170733e-05, 'epoch': 1.04}
{'loss': 1.0607, 'learning_rate': 1.3338414634146343e-05, 'epoch': 1.07}
{'loss': 1.0486, 'learning_rate': 1.3719512195121953e-05, 'epoch': 1.1}
{'loss': 0.95, 'learning_rate': 1.410060975609756e-05, 'epoch': 1.13}
{'loss': 0.9277, 'learning_rate': 1.448170731707317e-05, 'epoch': 1.16}
{'loss': 0.8968, 'learning_rate': 1.486280487804878e-05, 'epoch': 1.19}
{'loss': 0.8499, 'learning_rate': 1.524390243902439e-05, 'epoch': 1.22}
{'loss': 0.8062, 'learning_rate': 1.5625e-05, 'epoch': 1.25}
{'loss': 0.7558, 'learning_rate': 1.600609756097561e-05, 'epoch': 1.28}
{'loss': 0.7303, 'learning_rate': 1.638719512195122e-05, 'epoch': 1.31}
{'loss': 0.68, 'learning_rate': 1.676829268292683e-05, 'epoch': 1.34}
{'loss': 0.6245, 'learning_rate': 1.714939024390244e-05, 'epoch': 1.37}
{'loss': 0.6618, 'learning_rate': 1.7530487804878047e-05, 'epoch': 1.4}
{'loss': 0.6429, 'learning_rate': 1.7911585365853658e-05, 'epoch': 1.43}
{'loss': 0.6181, 'learning_rate': 1.8292682926829268e-05, 'epoch': 1.46}
{'loss': 0.568, 'learning_rate': 1.8673780487804878e-05, 'epoch': 1.49}
{'loss': 0.5207, 'learning_rate': 1.9054878048780488e-05, 'epoch': 1.52}
