
running ./paper_experiments.py -m 0 -d 2 -p 5 
{'loss': 2.1835, 'learning_rate': 1.9083969465648855e-07, 'epoch': 0.02}
{'loss': 2.1855, 'learning_rate': 3.816793893129771e-07, 'epoch': 0.03}
{'loss': 2.0891, 'learning_rate': 5.725190839694656e-07, 'epoch': 0.05}
{'loss': 2.1626, 'learning_rate': 7.633587786259542e-07, 'epoch': 0.06}
{'loss': 2.162, 'learning_rate': 9.54198473282443e-07, 'epoch': 0.08}
{'loss': 2.1528, 'learning_rate': 1.1450381679389313e-06, 'epoch': 0.09}
{'loss': 2.0995, 'learning_rate': 1.3358778625954198e-06, 'epoch': 0.11}
{'loss': 2.1544, 'learning_rate': 1.5267175572519084e-06, 'epoch': 0.12}
{'loss': 2.1317, 'learning_rate': 1.7175572519083972e-06, 'epoch': 0.14}
{'loss': 2.0911, 'learning_rate': 1.908396946564886e-06, 'epoch': 0.15}
{'loss': 2.1112, 'learning_rate': 2.099236641221374e-06, 'epoch': 0.17}
{'loss': 2.1188, 'learning_rate': 2.2900763358778625e-06, 'epoch': 0.18}
{'loss': 2.1151, 'learning_rate': 2.4809160305343513e-06, 'epoch': 0.2}
{'loss': 2.0976, 'learning_rate': 2.6717557251908397e-06, 'epoch': 0.21}
{'loss': 2.1146, 'learning_rate': 2.8625954198473285e-06, 'epoch': 0.23}
{'loss': 2.0601, 'learning_rate': 3.053435114503817e-06, 'epoch': 0.24}
{'loss': 2.1007, 'learning_rate': 3.2442748091603052e-06, 'epoch': 0.26}
{'loss': 2.0771, 'learning_rate': 3.4351145038167944e-06, 'epoch': 0.27}
{'loss': 2.0978, 'learning_rate': 3.6259541984732824e-06, 'epoch': 0.29}
{'loss': 2.0818, 'learning_rate': 3.816793893129772e-06, 'epoch': 0.3}
{'loss': 2.0898, 'learning_rate': 4.0076335877862595e-06, 'epoch': 0.32}
{'loss': 2.0756, 'learning_rate': 4.198473282442748e-06, 'epoch': 0.34}
{'loss': 2.0826, 'learning_rate': 4.389312977099236e-06, 'epoch': 0.35}
{'loss': 2.1057, 'learning_rate': 4.580152671755725e-06, 'epoch': 0.37}
{'loss': 2.0682, 'learning_rate': 4.770992366412214e-06, 'epoch': 0.38}
{'loss': 2.0789, 'learning_rate': 4.961832061068703e-06, 'epoch': 0.4}
{'loss': 2.0649, 'learning_rate': 5.1526717557251914e-06, 'epoch': 0.41}
{'loss': 2.0583, 'learning_rate': 5.343511450381679e-06, 'epoch': 0.43}
{'loss': 2.0562, 'learning_rate': 5.534351145038168e-06, 'epoch': 0.44}
{'loss': 2.0452, 'learning_rate': 5.725190839694657e-06, 'epoch': 0.46}
{'loss': 2.0624, 'learning_rate': 5.916030534351146e-06, 'epoch': 0.47}
{'loss': 2.0367, 'learning_rate': 6.106870229007634e-06, 'epoch': 0.49}
{'loss': 2.0123, 'learning_rate': 6.297709923664122e-06, 'epoch': 0.5}
{'loss': 2.0274, 'learning_rate': 6.4885496183206104e-06, 'epoch': 0.52}
{'loss': 2.0346, 'learning_rate': 6.679389312977099e-06, 'epoch': 0.53}
{'loss': 2.0382, 'learning_rate': 6.870229007633589e-06, 'epoch': 0.55}
{'loss': 2.0796, 'learning_rate': 7.061068702290078e-06, 'epoch': 0.56}
{'loss': 2.0273, 'learning_rate': 7.251908396946565e-06, 'epoch': 0.58}
{'loss': 1.9858, 'learning_rate': 7.4427480916030536e-06, 'epoch': 0.59}
{'loss': 1.9631, 'learning_rate': 7.633587786259543e-06, 'epoch': 0.61}
{'loss': 1.9871, 'learning_rate': 7.824427480916032e-06, 'epoch': 0.63}
{'loss': 1.914, 'learning_rate': 8.015267175572519e-06, 'epoch': 0.64}
{'loss': 1.9628, 'learning_rate': 8.206106870229008e-06, 'epoch': 0.66}
{'loss': 1.9554, 'learning_rate': 8.396946564885497e-06, 'epoch': 0.67}
{'loss': 1.9029, 'learning_rate': 8.587786259541985e-06, 'epoch': 0.69}
{'loss': 1.8796, 'learning_rate': 8.778625954198473e-06, 'epoch': 0.7}
{'loss': 1.8727, 'learning_rate': 8.969465648854961e-06, 'epoch': 0.72}
{'loss': 1.8183, 'learning_rate': 9.16030534351145e-06, 'epoch': 0.73}
{'loss': 1.7802, 'learning_rate': 9.351145038167939e-06, 'epoch': 0.75}
{'loss': 1.7628, 'learning_rate': 9.541984732824428e-06, 'epoch': 0.76}
{'loss': 1.7763, 'learning_rate': 9.732824427480917e-06, 'epoch': 0.78}
{'loss': 1.7245, 'learning_rate': 9.923664122137405e-06, 'epoch': 0.79}
{'loss': 1.7245, 'learning_rate': 1.0114503816793894e-05, 'epoch': 0.81}
{'loss': 1.5507, 'learning_rate': 1.0305343511450383e-05, 'epoch': 0.82}
{'loss': 1.7038, 'learning_rate': 1.049618320610687e-05, 'epoch': 0.84}
{'loss': 1.6589, 'learning_rate': 1.0687022900763359e-05, 'epoch': 0.85}
{'loss': 1.5503, 'learning_rate': 1.0877862595419848e-05, 'epoch': 0.87}
{'loss': 1.5781, 'learning_rate': 1.1068702290076336e-05, 'epoch': 0.88}
{'loss': 1.6011, 'learning_rate': 1.1259541984732823e-05, 'epoch': 0.9}
{'loss': 1.4809, 'learning_rate': 1.1450381679389314e-05, 'epoch': 0.91}
{'loss': 1.5854, 'learning_rate': 1.1641221374045803e-05, 'epoch': 0.93}
{'loss': 1.4907, 'learning_rate': 1.1832061068702292e-05, 'epoch': 0.95}
{'loss': 1.3992, 'learning_rate': 1.202290076335878e-05, 'epoch': 0.96}
{'loss': 1.3015, 'learning_rate': 1.2213740458015267e-05, 'epoch': 0.98}
{'loss': 1.4485, 'learning_rate': 1.2404580152671756e-05, 'epoch': 0.99}
testset on epoch 0.9988562714449104 acc:  0.228125  prec  0.16187349194521325  rec  0.228125  f1  0.1572271684222426
{'eval_loss': 1.5083487033843994, 'eval_accuracy': 0.47, 'eval_runtime': 10.6127, 'eval_samples_per_second': 28.268, 'eval_steps_per_second': 7.067, 'epoch': 1.0}
{'loss': 1.3352, 'learning_rate': 1.2595419847328243e-05, 'epoch': 1.01}
{'loss': 1.4612, 'learning_rate': 1.2786259541984732e-05, 'epoch': 1.02}
{'loss': 1.3663, 'learning_rate': 1.2977099236641221e-05, 'epoch': 1.04}
{'loss': 1.3627, 'learning_rate': 1.316793893129771e-05, 'epoch': 1.05}
{'loss': 1.2912, 'learning_rate': 1.3358778625954198e-05, 'epoch': 1.07}
{'loss': 1.2663, 'learning_rate': 1.3549618320610687e-05, 'epoch': 1.08}
{'loss': 1.2386, 'learning_rate': 1.3740458015267178e-05, 'epoch': 1.1}
{'loss': 1.2174, 'learning_rate': 1.3931297709923667e-05, 'epoch': 1.11}
{'loss': 1.2776, 'learning_rate': 1.4122137404580155e-05, 'epoch': 1.13}
{'loss': 1.0568, 'learning_rate': 1.431297709923664e-05, 'epoch': 1.14}
{'loss': 1.1884, 'learning_rate': 1.450381679389313e-05, 'epoch': 1.16}
{'loss': 1.4912, 'learning_rate': 1.4694656488549618e-05, 'epoch': 1.17}
{'loss': 1.1204, 'learning_rate': 1.4885496183206107e-05, 'epoch': 1.19}
{'loss': 1.311, 'learning_rate': 1.5076335877862596e-05, 'epoch': 1.2}
{'loss': 1.1641, 'learning_rate': 1.5267175572519086e-05, 'epoch': 1.22}
{'loss': 1.2035, 'learning_rate': 1.5458015267175575e-05, 'epoch': 1.24}
{'loss': 1.0854, 'learning_rate': 1.5648854961832064e-05, 'epoch': 1.25}
{'loss': 1.0179, 'learning_rate': 1.583969465648855e-05, 'epoch': 1.27}
{'loss': 0.9035, 'learning_rate': 1.6030534351145038e-05, 'epoch': 1.28}
{'loss': 0.9999, 'learning_rate': 1.6221374045801527e-05, 'epoch': 1.3}
{'loss': 0.9929, 'learning_rate': 1.6412213740458016e-05, 'epoch': 1.31}
{'loss': 0.9037, 'learning_rate': 1.6603053435114505e-05, 'epoch': 1.33}
{'loss': 0.7999, 'learning_rate': 1.6793893129770993e-05, 'epoch': 1.34}
{'loss': 0.8093, 'learning_rate': 1.6984732824427482e-05, 'epoch': 1.36}
{'loss': 0.8117, 'learning_rate': 1.717557251908397e-05, 'epoch': 1.37}
{'loss': 1.003, 'learning_rate': 1.736641221374046e-05, 'epoch': 1.39}
{'loss': 0.9059, 'learning_rate': 1.7557251908396945e-05, 'epoch': 1.4}
{'loss': 0.8193, 'learning_rate': 1.7748091603053434e-05, 'epoch': 1.42}
{'loss': 0.8116, 'learning_rate': 1.7938931297709923e-05, 'epoch': 1.43}
{'loss': 0.8308, 'learning_rate': 1.812977099236641e-05, 'epoch': 1.45}
{'loss': 0.8478, 'learning_rate': 1.83206106870229e-05, 'epoch': 1.46}
{'loss': 0.8548, 'learning_rate': 1.851145038167939e-05, 'epoch': 1.48}
{'loss': 0.8173, 'learning_rate': 1.8702290076335878e-05, 'epoch': 1.49}
{'loss': 0.9446, 'learning_rate': 1.8893129770992367e-05, 'epoch': 1.51}
{'loss': 0.8755, 'learning_rate': 1.9083969465648855e-05, 'epoch': 1.52}
{'loss': 0.6856, 'learning_rate': 1.9274809160305344e-05, 'epoch': 1.54}
{'loss': 0.884, 'learning_rate': 1.9465648854961833e-05, 'epoch': 1.56}
{'loss': 0.7106, 'learning_rate': 1.9656488549618322e-05, 'epoch': 1.57}
{'loss': 0.9203, 'learning_rate': 1.984732824427481e-05, 'epoch': 1.59}
{'loss': 0.8355, 'learning_rate': 2.00381679389313e-05, 'epoch': 1.6}
{'loss': 0.7966, 'learning_rate': 2.0229007633587788e-05, 'epoch': 1.62}
{'loss': 0.8221, 'learning_rate': 2.0419847328244277e-05, 'epoch': 1.63}
{'loss': 0.6918, 'learning_rate': 2.0610687022900766e-05, 'epoch': 1.65}
{'loss': 0.861, 'learning_rate': 2.0801526717557255e-05, 'epoch': 1.66}
{'loss': 0.8638, 'learning_rate': 2.099236641221374e-05, 'epoch': 1.68}
{'loss': 0.6997, 'learning_rate': 2.118320610687023e-05, 'epoch': 1.69}
{'loss': 0.6485, 'learning_rate': 2.1374045801526718e-05, 'epoch': 1.71}
{'loss': 0.6092, 'learning_rate': 2.1564885496183206e-05, 'epoch': 1.72}
{'loss': 0.6893, 'learning_rate': 2.1755725190839695e-05, 'epoch': 1.74}
{'loss': 0.5369, 'learning_rate': 2.1946564885496184e-05, 'epoch': 1.75}
{'loss': 0.5677, 'learning_rate': 2.2137404580152673e-05, 'epoch': 1.77}
{'loss': 0.6883, 'learning_rate': 2.232824427480916e-05, 'epoch': 1.78}
{'loss': 0.6587, 'learning_rate': 2.2519083969465647e-05, 'epoch': 1.8}
{'loss': 0.5291, 'learning_rate': 2.270992366412214e-05, 'epoch': 1.81}
{'loss': 0.5046, 'learning_rate': 2.2900763358778628e-05, 'epoch': 1.83}
{'loss': 0.7498, 'learning_rate': 2.3091603053435117e-05, 'epoch': 1.85}
{'loss': 0.7321, 'learning_rate': 2.3282442748091605e-05, 'epoch': 1.86}
{'loss': 0.5831, 'learning_rate': 2.3473282442748094e-05, 'epoch': 1.88}
{'loss': 0.4952, 'learning_rate': 2.3664122137404583e-05, 'epoch': 1.89}
{'loss': 0.5127, 'learning_rate': 2.3854961832061072e-05, 'epoch': 1.91}
{'loss': 0.5344, 'learning_rate': 2.404580152671756e-05, 'epoch': 1.92}
{'loss': 0.6447, 'learning_rate': 2.4236641221374046e-05, 'epoch': 1.94}
{'loss': 0.6627, 'learning_rate': 2.4427480916030535e-05, 'epoch': 1.95}
{'loss': 0.5743, 'learning_rate': 2.4618320610687024e-05, 'epoch': 1.97}
{'loss': 0.6, 'learning_rate': 2.4809160305343512e-05, 'epoch': 1.98}
{'loss': 0.5307, 'learning_rate': 2.5e-05, 'epoch': 2.0}
testset on epoch 1.999237514296607 acc:  0.50625  prec  0.44427819719860795  rec  0.50625  f1  0.4407543567825546
{'eval_loss': 0.819424569606781, 'eval_accuracy': 0.7333333333333333, 'eval_runtime': 10.2094, 'eval_samples_per_second': 29.385, 'eval_steps_per_second': 7.346, 'epoch': 2.0}
{'loss': 0.4814, 'learning_rate': 2.5190839694656487e-05, 'epoch': 2.01}
{'loss': 0.4998, 'learning_rate': 2.538167938931298e-05, 'epoch': 2.03}
